# substitution tolerance: per-token CE delta (arm minus unperturbed) on cached test micro-batches; BPB = CE/2.9780 (pythia-50k runs) or CE/2.7568 (tok16k 1e17); 95% percentile bootstrap over documents, 2000 resamples; producer analysis/residency/substitution_tolerance.py from analysis/probes/substitution_eval.py .npz records
run,budget,regime,grain,experts,topk,seed,condition,gate,fraction,layer,n_tokens,n_docs,ref_ce,ref_bpb,delta_ce,delta_ce_lo95,delta_ce_hi95,delta_bpb,delta_bpb_lo95,delta_bpb_hi95,hook_calls,subs_per_token_layer,replay_drift
flame38m_g1_temporal_s3,1e18,temporal,1,64,6,3,random,own,matched,L8,1048576,1322,3.931582,1.3202,0.011142,0.010760,0.011506,0.0037,0.0036,0.0039,16,1.000,0.00e+00
flame38m_g1_temporal_s3,1e18,temporal,1,64,6,3,random,own,matched,L9,1048576,1322,3.931582,1.3202,0.017252,0.016393,0.018303,0.0058,0.0055,0.0061,16,1.000,0.00e+00
flame38m_g3_moe,1e18,full,3,192,18,1,random,own,matched,all,1048576,1322,4.028180,1.3526,0.107774,0.106460,0.109147,0.0362,0.0357,0.0367,128,3.000,0.00e+00
flame38m_g3_moe,1e18,full,3,192,18,1,random,inherit,matched,all,1048576,1322,4.028180,1.3526,0.161913,0.160171,0.163689,0.0544,0.0538,0.0550,128,3.000,0.00e+00
flame38m_g3_moe,1e18,full,3,192,18,1,nextbest,own,matched,all,1048576,1322,4.028180,1.3526,0.100433,0.099105,0.101833,0.0337,0.0333,0.0342,128,3.000,0.00e+00
flame38m_g3_moe,1e18,full,3,192,18,1,nextbest,inherit,matched,all,1048576,1322,4.028180,1.3526,0.134485,0.132887,0.136146,0.0452,0.0446,0.0457,128,3.000,0.00e+00
flame38m_g3_moe,1e18,full,3,192,18,1,stale,own,matched,all,1048576,1322,4.028180,1.3526,0.106647,0.105298,0.107965,0.0358,0.0354,0.0363,128,2.996,0.00e+00
flame38m_g3_moe,1e18,full,3,192,18,1,stale,inherit,matched,all,1048576,1322,4.028180,1.3526,0.163444,0.161615,0.165263,0.0549,0.0543,0.0555,128,2.996,0.00e+00
flame38m_g3_moe,1e18,full,3,192,18,1,zero,-,matched,all,1048576,1322,4.028180,1.3526,0.110948,0.109622,0.112327,0.0373,0.0368,0.0377,128,3.000,0.00e+00
flame38m_g3_moe,1e18,full,3,192,18,1,random,own,one,all,1048576,1322,4.028180,1.3526,0.031388,0.030760,0.032002,0.0105,0.0103,0.0107,128,1.000,0.00e+00
flame38m_g3_moe,1e18,full,3,192,18,1,random,inherit,one,all,1048576,1322,4.028180,1.3526,0.053173,0.052386,0.054024,0.0179,0.0176,0.0181,128,1.000,0.00e+00
flame38m_g3_moe,1e18,full,3,192,18,1,nextbest,own,one,all,1048576,1322,4.028180,1.3526,0.030146,0.029509,0.030757,0.0101,0.0099,0.0103,128,1.000,0.00e+00
flame38m_g3_moe,1e18,full,3,192,18,1,nextbest,inherit,one,all,1048576,1322,4.028180,1.3526,0.046275,0.045525,0.047042,0.0155,0.0153,0.0158,128,1.000,0.00e+00
flame38m_g3_moe,1e18,full,3,192,18,1,stale,own,one,all,1048576,1322,4.028180,1.3526,0.031266,0.030621,0.031921,0.0105,0.0103,0.0107,128,0.999,0.00e+00
flame38m_g3_moe,1e18,full,3,192,18,1,stale,inherit,one,all,1048576,1322,4.028180,1.3526,0.053858,0.052973,0.054731,0.0181,0.0178,0.0184,128,0.999,0.00e+00
flame38m_g3_moe,1e18,full,3,192,18,1,zero,-,one,all,1048576,1322,4.028180,1.3526,0.031934,0.031331,0.032543,0.0107,0.0105,0.0109,128,1.000,0.00e+00
flame38m_g3_moe,1e18,full,3,192,18,1,random,own,matched,L2,1048576,1322,4.028180,1.3526,0.016793,0.016292,0.017278,0.0056,0.0055,0.0058,16,3.000,0.00e+00
flame38m_g3_moe,1e18,full,3,192,18,1,random,own,matched,L3,1048576,1322,4.028180,1.3526,0.018642,0.018139,0.019140,0.0063,0.0061,0.0064,16,3.000,0.00e+00
flame38m_g3_moe,1e18,full,3,192,18,1,random,own,matched,L4,1048576,1322,4.028180,1.3526,0.013816,0.013389,0.014230,0.0046,0.0045,0.0048,16,3.000,0.00e+00
flame38m_g3_moe,1e18,full,3,192,18,1,random,own,matched,L5,1048576,1322,4.028180,1.3526,0.011741,0.011388,0.012094,0.0039,0.0038,0.0041,16,3.000,0.00e+00
flame38m_g3_moe,1e18,full,3,192,18,1,random,own,matched,L6,1048576,1322,4.028180,1.3526,0.010830,0.010520,0.011139,0.0036,0.0035,0.0037,16,3.000,0.00e+00
flame38m_g3_moe,1e18,full,3,192,18,1,random,own,matched,L7,1048576,1322,4.028180,1.3526,0.009084,0.008788,0.009363,0.0031,0.0030,0.0031,16,3.000,0.00e+00
flame38m_g3_moe,1e18,full,3,192,18,1,random,own,matched,L8,1048576,1322,4.028180,1.3526,0.009841,0.009503,0.010198,0.0033,0.0032,0.0034,16,3.000,0.00e+00
flame38m_g3_moe,1e18,full,3,192,18,1,random,own,matched,L9,1048576,1322,4.028180,1.3526,0.011102,0.010716,0.011467,0.0037,0.0036,0.0039,16,3.000,0.00e+00
flame38m_g3_moe_s2,1e18,full,3,192,18,2,random,own,matched,all,1048576,1322,4.039222,1.3564,0.109249,0.107825,0.110666,0.0367,0.0362,0.0372,128,3.000,0.00e+00
flame38m_g3_moe_s2,1e18,full,3,192,18,2,random,inherit,matched,all,1048576,1322,4.039222,1.3564,0.164552,0.162650,0.166433,0.0553,0.0546,0.0559,128,3.000,0.00e+00
flame38m_g3_moe_s2,1e18,full,3,192,18,2,nextbest,own,matched,all,1048576,1322,4.039222,1.3564,0.101863,0.100404,0.103413,0.0342,0.0337,0.0347,128,3.000,0.00e+00
flame38m_g3_moe_s2,1e18,full,3,192,18,2,nextbest,inherit,matched,all,1048576,1322,4.039222,1.3564,0.134071,0.132370,0.135769,0.0450,0.0444,0.0456,128,3.000,0.00e+00
flame38m_g3_moe_s2,1e18,full,3,192,18,2,stale,own,matched,all,1048576,1322,4.039222,1.3564,0.108493,0.107033,0.109936,0.0364,0.0359,0.0369,128,2.997,0.00e+00
flame38m_g3_moe_s2,1e18,full,3,192,18,2,stale,inherit,matched,all,1048576,1322,4.039222,1.3564,0.168323,0.166449,0.170190,0.0565,0.0559,0.0571,128,2.997,0.00e+00
flame38m_g3_moe_s2,1e18,full,3,192,18,2,zero,-,matched,all,1048576,1322,4.039222,1.3564,0.112662,0.111234,0.114126,0.0378,0.0374,0.0383,128,3.000,0.00e+00
flame38m_g3_moe_s2,1e18,full,3,192,18,2,random,own,one,all,1048576,1322,4.039222,1.3564,0.031514,0.030863,0.032127,0.0106,0.0104,0.0108,128,1.000,0.00e+00
flame38m_g3_moe_s2,1e18,full,3,192,18,2,random,inherit,one,all,1048576,1322,4.039222,1.3564,0.054355,0.053517,0.055232,0.0183,0.0180,0.0185,128,1.000,0.00e+00
flame38m_g3_moe_s2,1e18,full,3,192,18,2,nextbest,own,one,all,1048576,1322,4.039222,1.3564,0.030223,0.029605,0.030822,0.0101,0.0099,0.0104,128,1.000,0.00e+00
flame38m_g3_moe_s2,1e18,full,3,192,18,2,nextbest,inherit,one,all,1048576,1322,4.039222,1.3564,0.045713,0.044864,0.046531,0.0154,0.0151,0.0156,128,1.000,0.00e+00
flame38m_g3_moe_s2,1e18,full,3,192,18,2,stale,own,one,all,1048576,1322,4.039222,1.3564,0.032479,0.031874,0.033090,0.0109,0.0107,0.0111,128,0.999,0.00e+00
flame38m_g3_moe_s2,1e18,full,3,192,18,2,stale,inherit,one,all,1048576,1322,4.039222,1.3564,0.054925,0.054014,0.055846,0.0184,0.0181,0.0188,128,0.999,0.00e+00
