label,run,budget,regime,H,E,split,layer_from,layer_to,rank,subspace_overlap,chance_overlap,overlap_over_chance
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,13,2,63,0.156,0.0783,1.992
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,13,3,63,0.1836,0.0783,2.345
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,13,4,63,0.1966,0.0783,2.51
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,13,5,63,0.2067,0.0783,2.64
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,13,6,63,0.221,0.0783,2.822
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,13,7,63,0.2442,0.0783,3.118
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,13,8,63,0.2416,0.0783,3.085
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,13,9,63,0.2547,0.0783,3.252
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,13,10,63,0.2723,0.0783,3.476
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,13,11,63,0.2835,0.0783,3.62
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,13,12,63,0.291,0.0783,3.716
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,13,13,63,1.0,0.0783,12.769
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,13,14,63,0.3012,0.0783,3.846
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,14,2,63,0.1643,0.0783,2.097
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,14,3,63,0.1924,0.0783,2.457
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,14,4,63,0.2091,0.0783,2.67
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,14,5,63,0.2185,0.0783,2.79
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,14,6,63,0.2395,0.0783,3.058
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,14,7,63,0.2618,0.0783,3.342
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,14,8,63,0.2625,0.0783,3.352
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,14,9,63,0.2524,0.0783,3.223
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,14,10,63,0.2794,0.0783,3.567
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,14,11,63,0.2986,0.0783,3.813
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,14,12,63,0.3072,0.0783,3.923
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,14,13,63,0.3012,0.0783,3.846
