run,budget,regime,grain,policy,layer,set_coverage,mass_coverage
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,discounted-oracle(g=0.9),13,0.50097,0.56116
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,discounted-oracle(g=0.9),14,0.53912,0.59358
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,discounted-oracle(g=0.9),all,0.45994,0.50826
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,discounted-oracle(g=0.95),2,0.29999,0.30274
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,discounted-oracle(g=0.95),3,0.30732,0.32258
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,discounted-oracle(g=0.95),4,0.31141,0.32544
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,discounted-oracle(g=0.95),5,0.31779,0.33625
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,discounted-oracle(g=0.95),6,0.33068,0.36024
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,discounted-oracle(g=0.95),7,0.35066,0.38888
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,discounted-oracle(g=0.95),8,0.34787,0.39540
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,discounted-oracle(g=0.95),9,0.35543,0.41323
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,discounted-oracle(g=0.95),10,0.39497,0.45694
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,discounted-oracle(g=0.95),11,0.40133,0.46371
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,discounted-oracle(g=0.95),12,0.39981,0.46281
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,discounted-oracle(g=0.95),13,0.40527,0.45516
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,discounted-oracle(g=0.95),14,0.46041,0.50637
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,discounted-oracle(g=0.95),all,0.36023,0.39921
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,Belady,2,0.22087,0.22409
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,Belady,3,0.25556,0.27096
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,Belady,4,0.26477,0.27637
