run,budget,regime,grain,resident_cache_K_over_k,hit_rate,mean_lifetime_tokens
g3_tmoe_s0_1e16_momg_b05,1e16,temporal,fine 18/192,6.000,0.77331,110.786
g3_tmoe_s0_1e16_momg_b05,1e16,temporal,fine 18/192,6.556,0.80786,124.903
g3_tmoe_s0_1e16_momg_b05,1e16,temporal,fine 18/192,7.111,0.84080,141.931
g3_tmoe_s0_1e16_momg_b05,1e16,temporal,fine 18/192,7.667,0.87174,164.062
g3_tmoe_s0_1e16_momg_b05,1e16,temporal,fine 18/192,8.222,0.90056,194.278
g3_tmoe_s0_1e16_momg_b05,1e16,temporal,fine 18/192,8.778,0.92725,241.850
g3_tmoe_s0_1e16_momg_b05,1e16,temporal,fine 18/192,9.333,0.95199,320.196
g3_tmoe_s0_1e16_momg_b05,1e16,temporal,fine 18/192,9.889,0.97482,491.163
g3_tmoe_s0_1e16_momg_b05,1e16,temporal,fine 18/192,10.444,0.99429,1088.900
g3_tmoe_s0_1e16_momr,1e16,temporal,fine 18/192,1.000,0.29414,17.853
g3_tmoe_s0_1e16_momr,1e16,temporal,fine 18/192,1.556,0.37606,27.717
g3_tmoe_s0_1e16_momr,1e16,temporal,fine 18/192,2.111,0.44248,37.543
g3_tmoe_s0_1e16_momr,1e16,temporal,fine 18/192,2.667,0.49992,47.331
g3_tmoe_s0_1e16_momr,1e16,temporal,fine 18/192,3.222,0.55139,57.159
g3_tmoe_s0_1e16_momr,1e16,temporal,fine 18/192,3.778,0.59821,67.112
g3_tmoe_s0_1e16_momr,1e16,temporal,fine 18/192,4.333,0.64232,77.360
g3_tmoe_s0_1e16_momr,1e16,temporal,fine 18/192,4.889,0.68340,88.026
g3_tmoe_s0_1e16_momr,1e16,temporal,fine 18/192,5.444,0.72189,99.374
g3_tmoe_s0_1e16_momr,1e16,temporal,fine 18/192,6.000,0.75962,112.174
g3_tmoe_s0_1e16_momr,1e16,temporal,fine 18/192,6.556,0.79617,127.420
g3_tmoe_s0_1e16_momr,1e16,temporal,fine 18/192,7.111,0.83069,146.021
g3_tmoe_s0_1e16_momr,1e16,temporal,fine 18/192,7.667,0.86386,169.952
g3_tmoe_s0_1e16_momr,1e16,temporal,fine 18/192,8.222,0.89524,202.827
g3_tmoe_s0_1e16_momr,1e16,temporal,fine 18/192,8.778,0.92404,253.505
g3_tmoe_s0_1e16_momr,1e16,temporal,fine 18/192,9.333,0.95064,339.553
g3_tmoe_s0_1e16_momr,1e16,temporal,fine 18/192,9.889,0.97400,518.491
g3_tmoe_s0_1e16_momr,1e16,temporal,fine 18/192,10.444,0.99363,1069.975
g3_tmoe_s0_1e16_momr_b1,1e16,temporal,fine 18/192,1.000,0.30036,17.854
g3_tmoe_s0_1e16_momr_b1,1e16,temporal,fine 18/192,1.556,0.39209,27.700
g3_tmoe_s0_1e16_momr_b1,1e16,temporal,fine 18/192,2.111,0.46349,37.527
g3_tmoe_s0_1e16_momr_b1,1e16,temporal,fine 18/192,2.667,0.52513,47.313
g3_tmoe_s0_1e16_momr_b1,1e16,temporal,fine 18/192,3.222,0.57986,57.136
g3_tmoe_s0_1e16_momr_b1,1e16,temporal,fine 18/192,3.778,0.62906,67.077
g3_tmoe_s0_1e16_momr_b1,1e16,temporal,fine 18/192,4.333,0.67354,77.286
g3_tmoe_s0_1e16_momr_b1,1e16,temporal,fine 18/192,4.889,0.71400,87.977
g3_tmoe_s0_1e16_momr_b1,1e16,temporal,fine 18/192,5.444,0.75254,99.494
g3_tmoe_s0_1e16_momr_b1,1e16,temporal,fine 18/192,6.000,0.78880,112.667
g3_tmoe_s0_1e16_momr_b1,1e16,temporal,fine 18/192,6.556,0.82182,127.805
g3_tmoe_s0_1e16_momr_b1,1e16,temporal,fine 18/192,7.111,0.85350,146.567
g3_tmoe_s0_1e16_momr_b1,1e16,temporal,fine 18/192,7.667,0.88317,170.704
g3_tmoe_s0_1e16_momr_b1,1e16,temporal,fine 18/192,8.222,0.91027,204.686
g3_tmoe_s0_1e16_momr_b1,1e16,temporal,fine 18/192,8.778,0.93538,258.600
g3_tmoe_s0_1e16_momr_b1,1e16,temporal,fine 18/192,9.333,0.95787,345.896
g3_tmoe_s0_1e16_momr_b1,1e16,temporal,fine 18/192,9.889,0.97794,526.064
