run,layer,expert,out_l2_mean,sel_count,interm_max,interm_kurt,rlogit_mean,rlogit_std,rlogit_mean_res,rlogit_mean_nonres,gate_mean,gate_std
g1_moe,2,57,0.890033,5444,4.3125,1.12369,-5.10548,1.13909,,,0.175083,0.114518
g1_moe,2,58,0.731932,6392,4.1875,1.01222,-5.12894,1.16105,,,0.121611,0.0915486
g1_moe,2,59,0.588948,5412,4.03125,2.14987,-4.77719,0.945842,,,0.172393,0.143406
g1_moe,2,60,0.907275,5493,6.0625,0.778216,-4.97049,1.08458,,,0.155081,0.134539
g1_moe,2,61,0.824808,6955,4.15625,0.788502,-4.68003,1.08961,,,0.141838,0.0885998
g1_moe,2,62,0.732714,6850,3.92188,1.05495,-4.78134,1.07318,,,0.123437,0.0875284
g1_moe,2,63,0.927,7086,3.89062,0.706421,-5.63095,1.59033,,,0.184923,0.125973
g1_moe,3,0,0.855358,6092,4.46875,0.939571,-5.07407,1.23612,,,0.166366,0.100879
g1_moe,3,1,0.962953,5377,4.28125,0.766576,-4.75402,1.0468,,,0.151576,0.118139
g1_moe,3,2,0.807415,6930,4.9375,1.52828,-4.88061,1.10373,,,0.150524,0.0827882
g1_moe,3,3,0.790198,7151,5,1.03381,-4.74136,1.10029,,,0.168848,0.119595
g1_moe,3,4,0.911597,5409,5.0625,0.821979,-4.97992,1.1395,,,0.143073,0.096624
g1_moe,3,5,0.74263,5965,4.5625,0.957287,-5.14718,1.12842,,,0.133467,0.0831789
g1_moe,3,6,0.844872,5594,5.125,0.75945,-4.83352,1.11043,,,0.173014,0.115571
g1_moe,3,7,0.920162,5459,4.46875,0.984119,-5.03239,1.13732,,,0.155942,0.107067
g1_moe,3,8,0.81179,5660,5.4375,1.59806,-4.55038,0.949334,,,0.171286,0.129752
g1_moe,3,9,0.897482,6295,4.34375,0.777352,-5.01994,1.2014,,,0.152425,0.108865
g1_moe,3,10,0.851495,6986,4.03125,0.564867,-5.08809,1.3317,,,0.165206,0.0991011
g1_moe,3,11,1.0042,7268,4.15625,0.636877,-5.15096,1.31806,,,0.151982,0.0882599
g1_moe,3,12,0.653479,6635,5.15625,2.33682,-4.95451,1.27247,,,0.330863,0.159318
g1_moe,3,13,0.93591,5833,4.6875,0.665019,-5.23755,1.33434,,,0.16392,0.109575
g1_moe,3,14,0.91953,5560,4.6875,1.02923,-5.12531,1.24316,,,0.18062,0.112091
g1_moe,3,15,1.15092,7172,5,0.853299,-5.50675,1.50907,,,0.181087,0.0959303
g1_moe,3,16,0.897717,5949,3.85938,0.830175,-5.13977,1.35392,,,0.147019,0.0961846
g1_moe,3,17,1.01747,5376,4.28125,0.600957,-4.72717,0.996808,,,0.139416,0.0952353
g1_moe,3,18,0.938091,9450,4.25,0.95147,-4.82977,1.25302,,,0.173606,0.0982993
g1_moe,3,19,1.02166,6483,4.84375,1.22363,-5.47072,1.42637,,,0.19194,0.125427
g1_moe,3,20,0.942026,5676,4.0625,0.695914,-4.95317,1.16653,,,0.178888,0.148254
g1_moe,3,21,1.02586,5637,5.5625,0.938955,-5.00952,1.20828,,,0.139253,0.0975634
g1_moe,3,22,0.956503,7417,4.96875,1.01379,-4.76287,1.17921,,,0.183569,0.120952
g1_moe,3,23,0.868155,6005,5.0625,0.995912,-4.90707,1.03555,,,0.15826,0.0970269
g1_moe,3,24,0.948411,6954,4.375,0.914829,-4.7331,1.10605,,,0.140316,0.0942204
g1_moe,3,25,0.941923,6453,3.85938,0.704934,-5.62479,1.64907,,,0.170858,0.0962719
g1_moe,3,26,0.895619,5964,4.4375,1.08178,-5.1889,1.28375,,,0.16384,0.0942108
g1_moe,3,27,0.929341,5612,4.5,0.723661,-5.03413,1.16326,,,0.149758,0.11088
g1_moe,3,28,0.873361,5425,4.8125,1.1278,-4.72966,1.05455,,,0.288489,0.164431
g1_moe,3,29,0.943949,6223,5.4375,0.998027,-4.89082,1.09891,,,0.131462,0.0965983
g1_moe,3,30,0.638324,5612,3.9375,0.731846,-4.8359,1.1042,,,0.298951,0.183424
g1_moe,3,31,0.962463,7955,4.65625,2.0256,-5.2905,1.38027,,,0.192813,0.0843136
g1_moe,3,32,0.891609,5781,5.53125,1.35123,-5.48134,1.49043,,,0.15812,0.0940627
g1_moe,3,33,1.00164,5555,5.59375,1.36858,-4.86118,1.04691,,,0.163157,0.108754
g1_moe,3,34,0.850811,5795,4.125,0.808634,-4.86491,1.14028,,,0.140189,0.0933944
g1_moe,3,35,0.984935,5604,4.78125,1.07542,-4.81096,1.01731,,,0.172222,0.126468
g1_moe,3,36,0.935036,5720,4.75,0.823575,-5.11204,1.28219,,,0.178622,0.138018
g1_moe,3,37,0.944832,5490,4.84375,1.17415,-4.63827,0.880142,,,0.144429,0.0950493
g1_moe,3,38,0.772014,6297,3.82812,1.09417,-5.04586,1.20207,,,0.141939,0.0977592
g1_moe,3,39,0.977141,5655,4.53125,0.663957,-4.91186,1.14044,,,0.17344,0.126731
g1_moe,3,40,1.02683,6033,5.0625,1.05147,-5.15024,1.257,,,0.213654,0.136623
g1_moe,3,41,0.908102,6799,4.3125,0.641921,-4.98978,1.22559,,,0.133024,0.0834001
g1_moe,3,42,0.846655,6288,4.34375,0.726187,-4.75941,1.0287,,,0.137787,0.0917353
g1_moe,3,43,0.960911,5618,5.40625,1.23454,-4.87027,1.11093,,,0.212957,0.140634
g1_moe,3,44,0.922135,5520,4.375,0.689183,-5.09855,1.22192,,,0.159601,0.0967209
g1_moe,3,45,0.836949,6444,4.4375,0.762624,-4.75376,1.09109,,,0.134376,0.0912816
g1_moe,3,46,0.901562,6063,4.28125,0.77017,-5.10063,1.25188,,,0.144936,0.0937319
