run,iteration,train_lm_loss,final_test_ce,seed
flame512_g1_temporal,245,5.179582E+00,,1234
flame512_g1_temporal,250,5.153100E+00,,1234
flame512_g1_temporal,255,5.132104E+00,,1234
flame512_g1_temporal,260,5.122259E+00,,1234
flame512_g1_temporal,265,5.091883E+00,,1234
flame512_g1_temporal,270,5.078259E+00,,1234
flame512_g1_temporal,275,5.051322E+00,,1234
flame512_g1_temporal,280,5.038960E+00,,1234
flame512_g1_temporal,285,5.018627E+00,,1234
flame512_g1_temporal,290,4.998485E+00,,1234
flame512_g1_temporal,295,4.983785E+00,,1234
flame512_g1_temporal,300,4.967425E+00,,1234
flame512_g1_temporal,305,4.965662E+00,,1234
flame512_g1_temporal,310,4.943437E+00,,1234
flame512_g1_temporal,315,4.922208E+00,,1234
flame512_g1_temporal,320,4.899528E+00,,1234
flame512_g1_temporal,325,4.889897E+00,,1234
flame512_g1_temporal,330,4.876963E+00,,1234
flame512_g1_temporal,335,4.867353E+00,,1234
flame512_g1_temporal,340,4.849348E+00,,1234
flame512_g1_temporal,345,4.837853E+00,,1234
flame512_g1_temporal,350,4.820607E+00,,1234
flame512_g1_temporal,355,4.808489E+00,,1234
flame512_g1_temporal,360,4.785363E+00,,1234
flame512_g1_temporal,365,4.771770E+00,,1234
flame512_g1_temporal,370,4.765903E+00,,1234
flame512_g1_temporal,375,4.760580E+00,,1234
flame512_g1_temporal,380,4.744032E+00,,1234
flame512_g1_temporal,385,4.727403E+00,,1234
flame512_g1_temporal,390,4.727605E+00,,1234
flame512_g1_temporal,395,4.705870E+00,,1234
flame512_g1_temporal,400,4.688456E+00,,1234
flame512_g1_temporal,405,4.681399E+00,,1234
flame512_g1_temporal,410,4.686705E+00,,1234
flame512_g1_temporal,415,4.678101E+00,,1234
flame512_g1_temporal,420,4.655525E+00,,1234
flame512_g1_temporal,425,4.636909E+00,,1234
flame512_g1_temporal,430,4.628100E+00,,1234
flame512_g1_temporal,435,4.615884E+00,,1234
flame512_g1_temporal,440,4.603151E+00,,1234
flame512_g1_temporal,445,4.597255E+00,,1234
flame512_g1_temporal,450,4.588364E+00,,1234
flame512_g1_temporal,455,4.575798E+00,,1234
flame512_g1_temporal,460,4.569077E+00,,1234
flame512_g1_temporal,465,4.566860E+00,,1234
flame512_g1_temporal,470,4.557841E+00,,1234
flame512_g1_temporal,475,4.544508E+00,,1234
flame512_g1_temporal,480,4.529767E+00,,1234
flame512_g1_temporal,485,4.523219E+00,,1234
flame512_g1_temporal,490,4.503907E+00,,1234
flame512_g1_temporal,495,4.508119E+00,,1234
flame512_g1_temporal,500,4.485733E+00,,1234
flame512_g1_temporal,505,4.484465E+00,,1234
flame512_g1_temporal,510,4.472404E+00,,1234
flame512_g1_temporal,515,4.460748E+00,,1234
flame512_g1_temporal,520,4.443851E+00,,1234
flame512_g1_temporal,525,4.441603E+00,,1234
flame512_g1_temporal,530,4.427053E+00,,1234
flame512_g1_temporal,535,4.420590E+00,,1234
flame512_g1_temporal,540,4.417090E+00,,1234
flame512_g1_temporal,545,4.420774E+00,,1234
flame512_g1_temporal,550,4.400127E+00,,1234
flame512_g1_temporal,555,4.405739E+00,,1234
flame512_g1_temporal,560,4.387686E+00,,1234
flame512_g1_temporal,565,4.380052E+00,,1234
flame512_g1_temporal,570,4.358878E+00,,1234
flame512_g1_temporal,575,4.360415E+00,,1234
flame512_g1_temporal,580,4.354060E+00,,1234
flame512_g1_temporal,585,4.336609E+00,,1234
flame512_g1_temporal,590,4.337322E+00,,1234
flame512_g1_temporal,595,4.332372E+00,,1234
flame512_g1_temporal,600,4.337040E+00,,1234
flame512_g1_temporal,605,4.318089E+00,,1234
flame512_g1_temporal,610,4.315682E+00,,1234
flame512_g1_temporal,615,4.296194E+00,,1234
flame512_g1_temporal,620,4.289814E+00,,1234
flame512_g1_temporal,625,4.288264E+00,,1234
flame512_g1_temporal,630,4.284621E+00,,1234
flame512_g1_temporal,635,4.268907E+00,,1234
flame512_g1_temporal,640,4.263490E+00,,1234
flame512_g1_temporal,645,4.255850E+00,,1234
flame512_g1_temporal,650,4.268509E+00,,1234
flame512_g1_temporal,655,4.250534E+00,,1234
flame512_g1_temporal,660,4.245004E+00,,1234
flame512_g1_temporal,665,4.231973E+00,,1234
flame512_g1_temporal,670,4.228349E+00,,1234
flame512_g1_temporal,675,4.233805E+00,,1234
flame512_g1_temporal,680,4.227602E+00,,1234
flame512_g1_temporal,685,4.218855E+00,,1234
flame512_g1_temporal,690,4.213399E+00,,1234
flame512_g1_temporal,695,4.202486E+00,,1234
flame512_g1_temporal,700,4.193553E+00,,1234
flame512_g1_temporal,705,4.202213E+00,,1234
flame512_g1_temporal,710,4.182126E+00,,1234
flame512_g1_temporal,715,4.175785E+00,,1234
flame512_g1_temporal,720,4.181124E+00,,1234
flame512_g1_temporal,725,4.179409E+00,,1234
flame512_g1_temporal,730,4.161708E+00,,1234
flame512_g1_temporal,735,4.156528E+00,,1234
flame512_g1_temporal,740,4.144996E+00,,1234
flame512_g1_temporal,745,4.149563E+00,,1234
flame512_g1_temporal,750,4.146042E+00,,1234
flame512_g1_temporal,755,4.136504E+00,,1234
flame512_g1_temporal,760,4.125111E+00,,1234
flame512_g1_temporal,765,4.124355E+00,,1234
flame512_g1_temporal,770,4.116775E+00,,1234
flame512_g1_temporal,775,4.113980E+00,,1234
flame512_g1_temporal,780,4.111655E+00,,1234
flame512_g1_temporal,785,4.111422E+00,,1234
flame512_g1_temporal,790,4.113305E+00,,1234
flame512_g1_temporal,795,4.109264E+00,,1234
flame512_g1_temporal,800,4.101323E+00,,1234
flame512_g1_temporal,802,,4.098233,1234
flame512_g3_moe,5,1.058167E+01,,1234
flame512_g3_moe,10,9.709686E+00,,1234
flame512_g3_moe,15,8.928648E+00,,1234
flame512_g3_moe,20,8.238783E+00,,1234
flame512_g3_moe,25,7.711349E+00,,1234
flame512_g3_moe,30,7.362881E+00,,1234
flame512_g3_moe,35,7.146480E+00,,1234
flame512_g3_moe,40,7.043044E+00,,1234
flame512_g3_moe,45,6.888373E+00,,1234
flame512_g3_moe,50,6.761437E+00,,1234
flame512_g3_moe,55,6.630022E+00,,1234
flame512_g3_moe,60,6.582494E+00,,1234
flame512_g3_moe,65,6.505931E+00,,1234
flame512_g3_moe,70,6.434348E+00,,1234
flame512_g3_moe,75,6.384931E+00,,1234
flame512_g3_moe,80,6.359020E+00,,1234
flame512_g3_moe,85,6.331202E+00,,1234
flame512_g3_moe,90,6.256777E+00,,1234
flame512_g3_moe,95,6.217871E+00,,1234
flame512_g3_moe,100,6.175661E+00,,1234
flame512_g3_moe,105,6.163219E+00,,1234
flame512_g3_moe,110,6.119313E+00,,1234
flame512_g3_moe,115,6.074177E+00,,1234
flame512_g3_moe,120,6.034668E+00,,1234
flame512_g3_moe,125,6.001554E+00,,1234
flame512_g3_moe,130,5.978952E+00,,1234
flame512_g3_moe,135,5.928446E+00,,1234
flame512_g3_moe,140,5.895857E+00,,1234
flame512_g3_moe,145,5.856856E+00,,1234
flame512_g3_moe,150,5.818514E+00,,1234
flame512_g3_moe,155,5.787598E+00,,1234
flame512_g3_moe,160,5.758604E+00,,1234
flame512_g3_moe,165,5.721228E+00,,1234
flame512_g3_moe,170,5.694093E+00,,1234
flame512_g3_moe,175,5.656364E+00,,1234
flame512_g3_moe,180,5.624528E+00,,1234
flame512_g3_moe,185,5.603407E+00,,1234
flame512_g3_moe,190,5.579706E+00,,1234
flame512_g3_moe,195,5.549756E+00,,1234
flame512_g3_moe,200,5.517279E+00,,1234
flame512_g3_moe,205,5.484632E+00,,1234
flame512_g3_moe,210,5.478336E+00,,1234
flame512_g3_moe,215,5.448471E+00,,1234
flame512_g3_moe,220,5.422585E+00,,1234
flame512_g3_moe,225,5.384585E+00,,1234
flame512_g3_moe,230,5.357919E+00,,1234
flame512_g3_moe,235,5.346600E+00,,1234
flame512_g3_moe,240,5.308789E+00,,1234
flame512_g3_moe,245,5.308577E+00,,1234
