run,layer,expert,resident_frac,selected_frac
g3_temporal,1,102,0.103592,0.085083
g3_temporal,1,103,0.096649,0.096771
g3_temporal,1,104,0.073044,0.078156
g3_temporal,1,105,0.098557,0.050766
g3_temporal,1,106,0.091873,0.108719
g3_temporal,1,107,0.086899,0.071533
g3_temporal,1,108,0.070389,0.041306
g3_temporal,1,109,0.089127,0.100479
g3_temporal,1,110,0.148819,0.161057
g3_temporal,1,111,0.094360,0.130783
g3_temporal,1,112,0.103333,0.137817
g3_temporal,1,113,0.091705,0.106186
g3_temporal,1,114,0.077988,0.069702
g3_temporal,1,115,0.070374,0.072784
g3_temporal,1,116,0.067810,0.066483
g3_temporal,1,117,0.077667,0.105530
g3_temporal,1,118,0.097137,0.045456
g3_temporal,1,119,0.097061,0.132996
g3_temporal,1,120,0.096786,0.063095
g3_temporal,1,121,0.097336,0.067017
g3_temporal,1,122,0.101868,0.116547
g3_temporal,1,123,0.097382,0.118347
g3_temporal,1,124,0.070694,0.163376
g3_temporal,1,125,0.083511,0.119736
g3_temporal,1,126,0.067657,0.061218
g3_temporal,1,127,0.068344,0.185486
g3_temporal,1,128,0.093079,0.121994
g3_temporal,1,129,0.079880,0.070435
g3_temporal,1,130,0.075790,0.042984
g3_temporal,1,131,0.106476,0.088776
g3_temporal,1,132,0.082382,0.119949
g3_temporal,1,133,0.074280,0.048798
g3_temporal,1,134,0.100525,0.075394
g3_temporal,1,135,0.082932,0.096985
g3_temporal,1,136,0.097076,0.148544
g3_temporal,1,137,0.120468,0.069321
g3_temporal,1,138,0.066910,0.079910
g3_temporal,1,139,0.082413,0.094955
g3_temporal,1,140,0.088486,0.099533
g3_temporal,1,141,0.082581,0.063187
g3_temporal,1,142,0.106186,0.094574
g3_temporal,1,143,0.099945,0.063522
g3_temporal,1,144,0.113434,0.087601
g3_temporal,1,145,0.074066,0.063049
g3_temporal,1,146,0.091049,0.131393
g3_temporal,1,147,0.100586,0.053482
