label,run,layer,expert,eff_vocab,semantic_dispersion
s0_TEMPORAL,g3_tmoe_s0_1e16,2,64,15990.43,0.9182
s0_TEMPORAL,g3_tmoe_s0_1e16,2,65,15991.24,0.879
s0_TEMPORAL,g3_tmoe_s0_1e16,2,66,15990.71,0.9194
s0_TEMPORAL,g3_tmoe_s0_1e16,2,67,15987.65,0.8978
s0_TEMPORAL,g3_tmoe_s0_1e16,2,68,15988.07,0.8816
s0_TEMPORAL,g3_tmoe_s0_1e16,2,69,15986.68,0.8615
s0_TEMPORAL,g3_tmoe_s0_1e16,2,70,15986.91,0.877
s0_TEMPORAL,g3_tmoe_s0_1e16,2,71,15992.17,0.8978
s0_TEMPORAL,g3_tmoe_s0_1e16,2,72,15995.49,0.847
s0_TEMPORAL,g3_tmoe_s0_1e16,2,73,15994.75,0.9424
s0_TEMPORAL,g3_tmoe_s0_1e16,2,74,15991.08,0.9199
s0_TEMPORAL,g3_tmoe_s0_1e16,2,75,15979.32,0.8668
s0_TEMPORAL,g3_tmoe_s0_1e16,2,76,15991.91,0.9079
s0_TEMPORAL,g3_tmoe_s0_1e16,2,77,15985.78,0.8944
s0_TEMPORAL,g3_tmoe_s0_1e16,2,78,15993.83,0.895
s0_TEMPORAL,g3_tmoe_s0_1e16,2,79,15990.06,0.9368
s0_TEMPORAL,g3_tmoe_s0_1e16,2,80,15993.31,0.887
s0_TEMPORAL,g3_tmoe_s0_1e16,2,81,15990.5,0.8753
s0_TEMPORAL,g3_tmoe_s0_1e16,2,82,15987.61,0.8718
s0_TEMPORAL,g3_tmoe_s0_1e16,2,83,15980.34,0.8451
s0_TEMPORAL,g3_tmoe_s0_1e16,2,84,15991.63,0.9055
s0_TEMPORAL,g3_tmoe_s0_1e16,2,85,15993.36,0.842
s0_TEMPORAL,g3_tmoe_s0_1e16,2,86,15985.09,0.9014
s0_TEMPORAL,g3_tmoe_s0_1e16,2,87,15990.34,0.8426
s0_TEMPORAL,g3_tmoe_s0_1e16,2,88,15994.35,0.8938
s0_TEMPORAL,g3_tmoe_s0_1e16,2,89,15992.15,0.9257
s0_TEMPORAL,g3_tmoe_s0_1e16,2,90,15986.79,0.8757
s0_TEMPORAL,g3_tmoe_s0_1e16,2,91,15990.6,0.9054
s0_TEMPORAL,g3_tmoe_s0_1e16,2,92,15988.9,0.9227
s0_TEMPORAL,g3_tmoe_s0_1e16,2,93,15991.04,0.8778
s0_TEMPORAL,g3_tmoe_s0_1e16,2,94,15987.64,0.894
s0_TEMPORAL,g3_tmoe_s0_1e16,2,95,15989.99,0.8584
s0_TEMPORAL,g3_tmoe_s0_1e16,2,96,15989.21,0.897
s0_TEMPORAL,g3_tmoe_s0_1e16,2,97,15981.39,0.8723
s0_TEMPORAL,g3_tmoe_s0_1e16,2,98,15992.23,0.8765
s0_TEMPORAL,g3_tmoe_s0_1e16,2,99,15992.0,0.8842
s0_TEMPORAL,g3_tmoe_s0_1e16,2,100,15995.57,0.898
s0_TEMPORAL,g3_tmoe_s0_1e16,2,101,15983.39,0.9234
s0_TEMPORAL,g3_tmoe_s0_1e16,2,102,15990.6,0.9427
s0_TEMPORAL,g3_tmoe_s0_1e16,2,103,15991.88,0.8452
s0_TEMPORAL,g3_tmoe_s0_1e16,2,104,15986.45,0.8689
s0_TEMPORAL,g3_tmoe_s0_1e16,2,105,15992.85,0.8679
s0_TEMPORAL,g3_tmoe_s0_1e16,2,106,15982.15,0.876
s0_TEMPORAL,g3_tmoe_s0_1e16,2,107,15985.14,0.6918
s0_TEMPORAL,g3_tmoe_s0_1e16,2,108,15991.82,0.8526
s0_TEMPORAL,g3_tmoe_s0_1e16,2,109,15991.38,0.8647
s0_TEMPORAL,g3_tmoe_s0_1e16,2,110,15990.5,0.9074
s0_TEMPORAL,g3_tmoe_s0_1e16,2,111,15989.09,0.9021
s0_TEMPORAL,g3_tmoe_s0_1e16,2,112,15994.32,0.901
s0_TEMPORAL,g3_tmoe_s0_1e16,2,113,15989.07,0.9283
s0_TEMPORAL,g3_tmoe_s0_1e16,2,114,15996.07,0.8898
s0_TEMPORAL,g3_tmoe_s0_1e16,2,115,15992.92,0.894
s0_TEMPORAL,g3_tmoe_s0_1e16,2,116,15987.82,0.9077
s0_TEMPORAL,g3_tmoe_s0_1e16,2,117,15982.62,0.873
s0_TEMPORAL,g3_tmoe_s0_1e16,2,118,15984.64,0.818
s0_TEMPORAL,g3_tmoe_s0_1e16,2,119,15990.69,0.9221
s0_TEMPORAL,g3_tmoe_s0_1e16,2,120,15982.79,0.8819
s0_TEMPORAL,g3_tmoe_s0_1e16,2,121,15989.99,0.8893
s0_TEMPORAL,g3_tmoe_s0_1e16,2,122,15988.69,0.8744
s0_TEMPORAL,g3_tmoe_s0_1e16,2,123,15993.53,0.8884
s0_TEMPORAL,g3_tmoe_s0_1e16,2,124,15987.23,0.8746
s0_TEMPORAL,g3_tmoe_s0_1e16,2,125,15985.87,0.8514
s0_TEMPORAL,g3_tmoe_s0_1e16,2,126,15996.67,0.8388
s0_TEMPORAL,g3_tmoe_s0_1e16,2,127,15994.04,0.8844
s0_TEMPORAL,g3_tmoe_s0_1e16,2,128,15993.74,0.8803
s0_TEMPORAL,g3_tmoe_s0_1e16,2,129,15992.15,0.8526
s0_TEMPORAL,g3_tmoe_s0_1e16,2,130,15990.81,0.8461
s0_TEMPORAL,g3_tmoe_s0_1e16,2,131,15988.92,0.9438
s0_TEMPORAL,g3_tmoe_s0_1e16,2,132,15985.99,0.8861
s0_TEMPORAL,g3_tmoe_s0_1e16,2,133,15988.13,0.8733
s0_TEMPORAL,g3_tmoe_s0_1e16,2,134,15993.34,0.9052
s0_TEMPORAL,g3_tmoe_s0_1e16,2,135,15990.11,0.8913
s0_TEMPORAL,g3_tmoe_s0_1e16,2,136,15985.75,0.8508
s0_TEMPORAL,g3_tmoe_s0_1e16,2,137,15991.54,0.8907
s0_TEMPORAL,g3_tmoe_s0_1e16,2,138,15991.66,0.8793
s0_TEMPORAL,g3_tmoe_s0_1e16,2,139,15985.47,0.9028
s0_TEMPORAL,g3_tmoe_s0_1e16,2,140,15987.75,0.898
s0_TEMPORAL,g3_tmoe_s0_1e16,2,141,15986.75,0.8991
s0_TEMPORAL,g3_tmoe_s0_1e16,2,142,15988.93,0.9141
s0_TEMPORAL,g3_tmoe_s0_1e16,2,143,15990.02,0.8967
s0_TEMPORAL,g3_tmoe_s0_1e16,2,144,15993.01,0.8714
s0_TEMPORAL,g3_tmoe_s0_1e16,2,145,15991.33,0.8771
s0_TEMPORAL,g3_tmoe_s0_1e16,2,146,15995.62,0.8841
s0_TEMPORAL,g3_tmoe_s0_1e16,2,147,15997.35,0.8774
s0_TEMPORAL,g3_tmoe_s0_1e16,2,148,15983.74,0.9214
s0_TEMPORAL,g3_tmoe_s0_1e16,2,149,15997.14,0.7703
s0_TEMPORAL,g3_tmoe_s0_1e16,2,150,15986.63,0.8349
s0_TEMPORAL,g3_tmoe_s0_1e16,2,151,15992.58,0.8619
s0_TEMPORAL,g3_tmoe_s0_1e16,2,152,15992.92,0.851
s0_TEMPORAL,g3_tmoe_s0_1e16,2,153,15986.24,0.8584
