panel,token,expert,num_experts_E,topk_k,moe_layer
full MoE  (top-k),93,5,64,6,7
full MoE  (top-k),93,10,64,6,7
full MoE  (top-k),93,28,64,6,7
full MoE  (top-k),93,47,64,6,7
full MoE  (top-k),93,55,64,6,7
full MoE  (top-k),93,57,64,6,7
full MoE  (top-k),94,11,64,6,7
full MoE  (top-k),94,21,64,6,7
full MoE  (top-k),94,31,64,6,7
full MoE  (top-k),94,33,64,6,7
full MoE  (top-k),94,51,64,6,7
full MoE  (top-k),94,57,64,6,7
full MoE  (top-k),95,17,64,6,7
full MoE  (top-k),95,20,64,6,7
full MoE  (top-k),95,24,64,6,7
full MoE  (top-k),95,48,64,6,7
full MoE  (top-k),95,50,64,6,7
full MoE  (top-k),95,57,64,6,7
full MoE  (top-k),96,8,64,6,7
full MoE  (top-k),96,16,64,6,7
full MoE  (top-k),96,18,64,6,7
full MoE  (top-k),96,24,64,6,7
full MoE  (top-k),96,52,64,6,7
full MoE  (top-k),96,54,64,6,7
full MoE  (top-k),97,15,64,6,7
full MoE  (top-k),97,33,64,6,7
full MoE  (top-k),97,34,64,6,7
full MoE  (top-k),97,51,64,6,7
full MoE  (top-k),97,58,64,6,7
full MoE  (top-k),97,61,64,6,7
full MoE  (top-k),98,4,64,6,7
full MoE  (top-k),98,10,64,6,7
full MoE  (top-k),98,39,64,6,7
full MoE  (top-k),98,52,64,6,7
full MoE  (top-k),98,60,64,6,7
full MoE  (top-k),98,62,64,6,7
full MoE  (top-k),99,4,64,6,7
full MoE  (top-k),99,6,64,6,7
full MoE  (top-k),99,7,64,6,7
full MoE  (top-k),99,45,64,6,7
full MoE  (top-k),99,49,64,6,7
full MoE  (top-k),99,62,64,6,7
full MoE  (top-k),100,0,64,6,7
full MoE  (top-k),100,20,64,6,7
full MoE  (top-k),100,25,64,6,7
full MoE  (top-k),100,41,64,6,7
full MoE  (top-k),100,54,64,6,7
full MoE  (top-k),100,59,64,6,7
full MoE  (top-k),101,0,64,6,7
full MoE  (top-k),101,20,64,6,7
full MoE  (top-k),101,21,64,6,7
full MoE  (top-k),101,31,64,6,7
full MoE  (top-k),101,35,64,6,7
full MoE  (top-k),101,57,64,6,7
full MoE  (top-k),102,17,64,6,7
full MoE  (top-k),102,31,64,6,7
full MoE  (top-k),102,32,64,6,7
full MoE  (top-k),102,35,64,6,7
full MoE  (top-k),102,55,64,6,7
full MoE  (top-k),102,58,64,6,7
full MoE  (top-k),103,11,64,6,7
full MoE  (top-k),103,18,64,6,7
full MoE  (top-k),103,31,64,6,7
full MoE  (top-k),103,32,64,6,7
full MoE  (top-k),103,48,64,6,7
full MoE  (top-k),103,60,64,6,7
full MoE  (top-k),104,17,64,6,7
full MoE  (top-k),104,19,64,6,7
full MoE  (top-k),104,25,64,6,7
full MoE  (top-k),104,30,64,6,7
full MoE  (top-k),104,36,64,6,7
full MoE  (top-k),104,54,64,6,7
full MoE  (top-k),105,22,64,6,7
full MoE  (top-k),105,31,64,6,7
full MoE  (top-k),105,32,64,6,7
full MoE  (top-k),105,39,64,6,7
full MoE  (top-k),105,53,64,6,7
full MoE  (top-k),105,55,64,6,7
full MoE  (top-k),106,11,64,6,7
full MoE  (top-k),106,32,64,6,7
full MoE  (top-k),106,39,64,6,7
full MoE  (top-k),106,48,64,6,7
full MoE  (top-k),106,60,64,6,7
full MoE  (top-k),106,62,64,6,7
full MoE  (top-k),107,8,64,6,7
full MoE  (top-k),107,18,64,6,7
full MoE  (top-k),107,32,64,6,7
full MoE  (top-k),107,48,64,6,7
full MoE  (top-k),107,50,64,6,7
full MoE  (top-k),107,60,64,6,7
full MoE  (top-k),108,0,64,6,7
full MoE  (top-k),108,19,64,6,7
full MoE  (top-k),108,25,64,6,7
full MoE  (top-k),108,36,64,6,7
full MoE  (top-k),108,54,64,6,7
full MoE  (top-k),108,55,64,6,7
full MoE  (top-k),109,21,64,6,7
full MoE  (top-k),109,22,64,6,7
full MoE  (top-k),109,23,64,6,7
full MoE  (top-k),109,32,64,6,7
full MoE  (top-k),109,33,64,6,7
full MoE  (top-k),109,57,64,6,7
full MoE  (top-k),110,5,64,6,7
full MoE  (top-k),110,18,64,6,7
full MoE  (top-k),110,28,64,6,7
full MoE  (top-k),110,32,64,6,7
full MoE  (top-k),110,47,64,6,7
full MoE  (top-k),110,60,64,6,7
full MoE  (top-k),111,5,64,6,7
full MoE  (top-k),111,19,64,6,7
full MoE  (top-k),111,20,64,6,7
full MoE  (top-k),111,25,64,6,7
full MoE  (top-k),111,36,64,6,7
full MoE  (top-k),111,54,64,6,7
full MoE  (top-k),112,22,64,6,7
full MoE  (top-k),112,23,64,6,7
full MoE  (top-k),112,32,64,6,7
full MoE  (top-k),112,33,64,6,7
full MoE  (top-k),112,41,64,6,7
full MoE  (top-k),112,61,64,6,7
full MoE  (top-k),113,4,64,6,7
full MoE  (top-k),113,18,64,6,7
full MoE  (top-k),113,32,64,6,7
full MoE  (top-k),113,39,64,6,7
full MoE  (top-k),113,60,64,6,7
full MoE  (top-k),113,62,64,6,7
full MoE  (top-k),114,4,64,6,7
full MoE  (top-k),114,6,64,6,7
full MoE  (top-k),114,39,64,6,7
full MoE  (top-k),114,45,64,6,7
full MoE  (top-k),114,49,64,6,7
full MoE  (top-k),114,62,64,6,7
full MoE  (top-k),115,0,64,6,7
full MoE  (top-k),115,19,64,6,7
